frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
51,0.502769,4,860.968,75.000,1938.580,85.000,2750.000,90.000,3850.000,90.000
52,0.512769,4,891.688,75.000,1836.522,85.000,2750.000,90.000,3850.000,90.000
53,0.522769,4,881.695,75.000,1831.135,85.000,2750.000,90.000,3850.000,90.000
54,0.532769,4,1385.723,75.000,1932.383,85.000,2750.000,90.000,3850.000,90.000
55,0.542769,4,893.843,75.000,1821.206,85.000,2750.000,90.000,3850.000,90.000
56,0.552769,4,882.499,75.000,1742.918,85.000,2750.000,90.000,3850.000,90.000
57,0.562769,4,923.144,75.000,1773.619,85.000,2750.000,90.000,3850.000,90.000
58,0.572769,4,820.039,75.000,1908.985,85.000,2750.000,90.000,3850.000,90.000
59,0.582769,4,1085.551,75.000,1948.364,85.000,2750.000,90.000,3850.000,90.000
60,0.592769,4,932.505,75.000,1951.606,85.000,2750.000,90.000,3850.000,90.000
61,0.602769,4,1413.062,75.000,1845.350,85.000,2750.000,90.000,3850.000,90.000
62,0.612769,4,843.043,75.000,1896.915,85.000,2750.000,90.000,3850.000,90.000
63,0.622769,4,913.794,75.000,1910.751,85.000,2750.000,90.000,3850.000,90.000
64,0.632769,4,1256.781,75.000,2200.278,85.000,2750.000,90.000,3850.000,90.000
65,0.642769,4,1162.591,75.000,2308.734,85.000,2750.000,90.000,3850.000,90.000
66,0.652769,4,773.198,75.000,1770.528,85.000,2750.000,90.000,3850.000,90.000
67,0.662769,4,975.535,75.000,1922.509,85.000,2750.000,90.000,3850.000,90.000
68,0.672769,4,1244.711,75.000,1875.072,85.000,2750.000,90.000,3850.000,90.000
69,0.682769,4,1351.430,75.000,1717.475,85.000,2750.000,90.000,3850.000,90.000
70,0.692769,4,1360.696,75.000,1678.234,85.000,2750.000,90.000,3850.000,90.000
71,0.702769,4,1360.696,75.000,1678.233,85.000,2750.000,90.000,3850.000,90.000
72,0.712769,4,1360.696,75.000,1678.233,85.000,2750.000,90.000,3850.000,90.000
