frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
38,0.372769,4,872.273,75.000,1509.718,85.000,2750.000,152.618,3850.000,197.345
39,0.382769,4,899.710,75.000,1604.421,85.000,2750.000,147.696,3850.000,188.908
40,0.392769,4,876.262,75.000,1634.211,85.000,2750.000,142.775,3850.000,180.471
41,0.402769,4,873.479,75.000,1500.848,85.000,2750.000,137.853,3850.000,172.034
42,0.412769,4,968.605,75.000,1486.210,85.000,2750.000,132.931,3850.000,163.597
43,0.422769,4,1057.840,75.000,2099.701,85.000,2750.000,128.010,3850.000,155.160
44,0.432769,4,994.619,75.000,2276.914,85.000,2750.000,123.088,3850.000,146.723
45,0.442769,4,906.884,75.000,1399.739,85.000,2750.000,118.167,3850.000,138.286
46,0.452769,4,872.946,75.000,1648.113,85.000,2750.000,113.245,3850.000,129.849
47,0.462769,4,958.707,75.000,2140.844,85.000,2750.000,108.324,3850.000,121.412
48,0.472769,4,915.087,75.000,2192.486,85.000,2750.000,103.402,3850.000,112.975
49,0.482769,4,1129.744,75.000,1788.022,85.000,2750.000,98.480,3850.000,104.538
50,0.492769,4,772.831,75.000,1627.578,85.000,2750.000,93.559,3850.000,96.101
51,0.502769,4,1063.521,75.000,2101.293,85.000,2750.000,90.000,3850.000,90.000
52,0.512769,4,921.155,75.000,1984.977,85.000,2750.000,90.000,3850.000,90.000
53,0.522769,4,1054.369,75.000,2066.268,85.000,2750.000,90.000,3850.000,90.000
54,0.532769,4,1148.924,75.000,2040.708,85.000,2750.000,90.000,3850.000,90.000
55,0.542769,4,902.917,75.000,1830.784,85.000,2750.000,90.000,3850.000,90.000
56,0.552769,4,839.519,75.000,1673.066,85.000,2750.000,90.000,3850.000,90.000
57,0.562769,4,830.335,75.000,1772.179,85.000,2750.000,90.000,3850.000,90.000
58,0.572769,4,928.792,75.000,1891.308,85.000,2750.000,90.000,3850.000,90.000
59,0.582769,4,878.416,75.000,1674.248,85.000,2750.000,90.000,3850.000,90.000
60,0.592769,4,777.430,75.000,1935.951,85.000,2750.000,90.000,3850.000,90.000
61,0.602769,4,1209.709,75.000,2047.422,85.000,2750.000,90.000,3850.000,90.000
62,0.612769,4,1203.498,75.000,2229.590,85.000,2750.000,90.000,3850.000,90.000
63,0.622769,4,1100.804,75.000,2059.946,85.000,2750.000,90.000,3850.000,90.000
64,0.632769,4,1141.178,75.000,2174.134,85.000,2750.000,90.000,3850.000,90.000
65,0.642769,4,1190.199,75.000,2378.660,85.000,2750.000,90.000,3850.000,90.000
66,0.652769,4,970.776,75.000,1955.771,85.000,2750.000,90.000,3850.000,90.000
67,0.662769,4,1057.642,75.000,2032.491,85.000,2750.000,90.000,3850.000,90.000
68,0.672769,4,1372.006,75.000,1898.214,85.000,2750.000,90.000,3850.000,90.000
69,0.682769,4,1414.112,75.000,2029.630,85.000,2750.000,90.000,3850.000,90.000
70,0.692769,4,1414.714,75.000,2156.065,85.000,2750.000,90.000,3850.000,90.000
71,0.702769,4,1414.714,75.000,2156.067,85.000,2750.000,90.000,3850.000,90.000
72,0.712769,4,1414.714,75.000,2156.067,85.000,2750.000,90.000,3850.000,90.000
